commande_id;ligne;date_commande;client_id;produit_id;magasin_id;quantite;prix_unitaire;remise_pct;montant_brut;montant_net;frais_livraison;moyen_paiement;statut_commande;canal_vente
CMD-003318;3;2024-11-03 10:01:17;C0077;P046;M02;2;19200;5;38400;36480;0;Espèces;Retournée;Mobile App
CMD-000791;4;2024-02-25 18:10:57;C0180;P040;M06;1;77646;15;77646;65999;0;Espèces;Livrée;Web
CMD-000287;2;2024-01-17 14:49:53;C0094;P012;M02;1;45114;0;45114;45114;0;Mobile Money;Retournée;Mobile App
CMD-008217;2;2025-12-09 19:23:38;C0466;P028;M07;2;9077;0;18154;18154;0;Mobile Money;Retournée;Web
CMD-004540;2;2025-01-12 16:25:50;C0070;P021;M08;1;124863;5;124863;118619;0;Mobile Money;Livrée;Mobile App
CMD-005379;2;2025-03-21 07:29:52;C0305;P032;M05;1;75184;10;75184;67665;0;Espèces;Livrée;Web
CMD-002302;2;2024-08-08 20:50:48;C0346;P016;M05;1;51293;0;51293;51293;0;Carte bancaire;En cours;Mobile App
CMD-002098;1;2024-07-06 21:02:04;C0451;P039;M07;2;13140;15;26280;22338;0;Virement;Livrée;Web
CMD-003428;2;2024-11-13 17:15:36;C0286;P042;M01;1;7087;20;7087;5669;0;Mobile Money;Livrée;Web
CMD-007042;1;2025-09-11 20:22:35;C0466;P012;M06;1;45114;0;45114;45114;15000;Carte bancaire;Expédiée;Mobile App
CMD-004018;1;2024-12-18 15:47:08;C0499;P007;M01;1;43750;0;43750;43750;5000;Virement;Livrée;En magasin
CMD-005060;1;2025-02-18 12:30:35;C0346;P029;M04;1;6366;0;6366;6366;10000;Espèces;Livrée;En magasin
CMD-001613;4;2024-05-19 23:00:13;C0291;P027;M01;2;6588;5;13176;12517;0;Virement;Livrée;Web
CMD-000673;3;2024-02-15 19:45:51;C0352;P010;M02;3;50685;15;152055;129246;0;Mobile Money;Livrée;Mobile App
CMD-000873;1;2024-03-04 16:48:52;;P019;M04;2;26073;0;52146;52146;10000;Mobile Money;Retournée;Web
CMD-004693;1;2025-01-20 18:35:19;C0489;P012;;1;45114;10;45114;40602;10000;Espèces;Retournée;Web
CMD-000288;1;2024-01-17 10:39:16;C0261;P027;M02;2;6588;20;13176;10540;5000;Espèces;Expédiée;Web
CMD-007072;1;2025-09-13 20:41:12;C0203;P026;M07;5;13601;0;68005;68005;15000;Mobile Money;Livrée;En magasin
CMD-006179;2;2025-06-07 17:58:24;C0461;P018;M02;3;174549;5;523647;497464;0;Mobile Money;Annulée;En magasin
CMD-003262;2;2024-10-27 17:10:32;C0498;P046;;2;19200;0;38400;38400;0;Mobile Money;Livrée;Mobile App
CMD-000251;3;2024-01-15 07:11:48;C0383;P027;XXX;2;6588;5;13176;12517;0;Carte bancaire;Livrée;Mobile App
CMD-005715;1;2025-04-22 21:32:21;C0336;P028;M01;1;9077;5;9077;8623;15000;Mobile Money;Livrée;Mobile App
CMD-000845;3;2024-03-02 11:28:00;C0188;P043;M06;2;12750;0;25500;25500;0;Virement;Livrée;Mobile App
CMD-005020;2;2025-02-14 18:50:11;C0351;P019;M06;2;26073;0;52146;52146;0;Virement;Expédiée;WhatsApp
CMD-007271;1;2025-09-24 17:11:24;C0005;P036;M06;2;50856;20;101712;81369;15000;Espèces;Livrée;Mobile App
CMD-001904;1;2024-06-15 22:12:02;C0408;P015;M03;1;67057;15;67057;56998;5000;Virement;Livrée;Mobile App
CMD-007667;2;2025-10-27 22:34:44;C0338;P025;M02;1;21713;10;21713;19541;0;Mobile Money;Livrée;Mobile App
CMD-001578;1;2024-05-15 23:29:43;C0021;P025;M02;1;21713;0;21713;21713;0;Espèces;Livrée;Web
CMD-000340;1;2024-01-20 20:08:48;C0027;P028;M01;2;9077;20;18154;14523;5000;Mobile Money;Livrée;Mobile App
CMD-000522;1;2024-01-31 23:36:30;C0498;P012;M02;1;45114;10;45114;40602;10000;Espèces;Livrée;Mobile App
CMD-007756;3;2025-11-04 08:39:05;C0148;P030;M02;3;6536;0;19608;19608;0;Espèces;Livrée;Web
CMD-001105;4;2024-03-29 13:48:01;C0355;P036;M02;2;50856;5;101712;96626;0;Mobile Money;Livrée;En magasin
CMD-008255;3;2025-12-10 09:08:35;C0335;P004;M02;2;480524;0;961048;961048;0;Mobile Money;Livrée;WhatsApp
CMD-005352;2;2025-03-19 22:07:04;C0486;P010;M06;2;50685;0;101370;101370;0;Virement;Livrée;Mobile App
CMD-005717;3;2025-04-23 16:39:14;C0493;P048;M07;1;33807;0;33807;33807;0;Espèces;Livrée;Mobile App
CMD-007496;1;2025-10-10 22:31:02;C0418;P009;M08;1;7913;0;7913;7913;15000;Mobile Money;Livrée;En magasin
CMD-006091;3;2025-05-30 23:24:38;C0262;P036;M08;1;50856;0;50856;50856;0;Mobile Money;Retournée;En magasin
CMD-003786;1;2024-12-08 19:08:57;C0237;P046;M05;5;19200;0;96000;96000;0;Mobile Money;Livrée;WhatsApp
CMD-006440;1;2025-07-04 12:37:58;C0124;P005;M07;1;33440;0;33440;33440;0;Mobile Money;Livrée;Web
CMD-002159;4;2024-07-15 14:17:36;C0286;P027;M02;5;6588;0;32940;32940;0;Espèces;Livrée;Web
